Time [min]  O2-01     O2-02     O2-03     O2-04     O2-05     O2-06     O2-07     O2-08     O2-09     O2-10     O2-11     O2-12     O2-13     O2-14     O2-15     O2-16     O2-17     O2-18
    0       20.841    20.990    20.886    20.933    20.962    20.912    20.957    21.111    20.969    21.064    20.994    21.157    20.988    21.010    21.103    20.981    20.980    20.965
    1       20.876    20.986    20.895    20.939    20.959    20.914    20.957    21.105    20.969    21.052    20.988    21.153    20.992    20.999    21.103    20.981    20.980    20.963
    2       20.897    20.977    20.892    20.958    20.949    20.912    20.962    21.105    20.969    21.071    20.993    21.163    20.993    20.996    21.102    20.985    20.980    20.965
    3       20.898    20.975    20.895    20.958    20.951    20.920    20.970    21.105    20.969    21.074    20.993    21.170    21.000    20.998    21.107    20.985    20.980    20.965
    4       20.879    20.994    20.895    20.958    20.968    20.920    20.955    21.106    20.969    21.071    20.993    21.173    20.990    20.999    21.107    20.986    20.980    20.965
    5       20.877    20.985    20.895    20.970    20.968    20.892    20.955    21.092    20.968    21.074    20.993    21.152    20.974    20.981    21.109    20.994    20.981    20.956
    6       20.882    20.993    20.895    20.981    20.966    20.890    20.938    21.079    20.969    21.074    20.988    21.142    20.963    20.957    21.106    20.998    20.978    20.933
    7       20.877    20.993    20.895    20.982    20.955    20.890    20.938    21.088    20.969    21.074    20.978    21.132    20.966    20.962    21.107    20.999    20.977    20.923
    8       20.890    20.987    20.895    20.981    20.950    20.890    20.953    21.080    20.968    21.074    20.963    21.132    20.968    20.955    21.107    20.998    20.970    20.932
    9       20.896    20.989    20.895    20.980    20.947    20.888    20.955    21.082    20.969    21.077    20.963    21.143    20.969    20.948    21.103    20.997    20.965    20.934
    10      20.900    20.986    20.895    20.981    20.947    20.890    20.955    21.080    20.969    21.077    20.961    21.143    20.967    20.959    21.103    20.998    20.965    20.927
    11      20.900    20.993    20.895    20.982    20.944    20.890    20.955    21.094    20.974    21.074    20.961    21.143    20.983    20.955    21.113    20.998    20.965    20.937
    12      20.900    20.984    20.895    20.982    20.953    20.890    20.955    21.090    20.969    21.074    20.979    21.142    20.972    20.964    21.107    20.998    20.977    20.944
    13      20.769    20.966    20.894    20.951    20.955    20.889    20.955    21.091    20.966    21.074    20.976    21.143    20.969    20.985    21.103    20.998    20.981    20.941
    14      20.751    20.757    20.772    19.731    20.748    20.795    20.904    21.082    20.848    20.297    20.954    21.141    20.944    20.972    21.001    20.345    20.917    20.940
    15      20.739    20.895    20.485    20.063    20.585    20.755    20.843    20.981    20.571    20.277    20.506    21.046    20.855    20.953    20.701    19.824    20.398    20.860
    16      20.728    20.771    20.301    20.017    20.514    20.643    20.784    20.898    20.055    20.081    20.415    20.896    20.780    20.751    20.245    19.596    20.428    20.703
    17      20.452    20.694    20.254    20.204    20.409    20.535    20.659    20.747    20.206    19.710    20.410    20.757    20.627    20.477    20.285    19.586    20.403    20.567
    18      20.413    20.651    20.224    20.120    20.416    20.529    20.516    20.672    20.264    19.778    20.392    20.756    20.579    20.502    20.341    19.743    20.374    20.620
    19      20.430    20.557    20.229    20.018    20.485    20.547    20.479    20.642    20.342    19.634    20.420    20.791    20.466    20.522    20.411    19.712    20.361    20.627
    20      20.418    20.540    20.178    20.210    20.461    20.552    20.467    20.660    20.327    19.550    20.351    20.819    20.472    20.576    20.385    19.711    20.271    20.618
    21      20.395    20.459    20.257    19.446    20.221    20.365    20.461    20.610    20.350    19.824    20.353    20.656    20.416    20.519    20.426    19.833    20.376    20.541
    22      20.237    20.404    20.185    19.520    20.287    20.228    20.368    20.624    20.364    19.994    20.381    20.634    20.338    20.529    20.492    19.857    20.355    20.566
    23      20.349    20.500    20.181    19.877    20.462    20.539    20.429    20.587    20.355    19.774    20.474    20.787    20.468    20.473    20.497    19.887    20.455    20.643
    24      20.389    20.490    20.321    19.998    20.550    20.568    20.484    20.580    20.443    19.700    20.419    20.804    20.479    20.476    20.556    19.955    20.398    20.678
    25      20.436    20.499    20.234    20.456    20.383    20.542    20.480    20.643    20.441    20.211    20.523    20.780    20.475    20.569    20.554    19.933    20.466    20.640
    26      20.423    20.489    20.272    20.390    20.444    20.588    20.502    20.527    20.426    20.290    20.456    20.858    20.477    20.455    20.578    20.024    20.479    20.701
    27      20.449    20.490    20.474    20.315    20.464    20.604    20.471    20.548    20.452    20.535    20.470    20.889    20.440    20.487    20.675    20.159    20.429    20.706
    28      20.468    20.491    20.432    20.423    20.400    20.601    20.475    20.663    20.515    20.464    20.506    20.885    20.469    20.626    20.669    20.207    20.448    20.699
    29      20.476    20.533    20.430    20.364    20.433    20.626    20.493    20.583    20.543    20.441    20.516    20.892    20.433    20.529    20.690    20.251    20.519    20.713
    30      20.460    20.566    20.447    20.408    20.520    20.613    20.513    20.575    20.556    20.201    20.553    20.877    20.511    20.491    20.686    20.095    20.519    20.724
    31      20.492    20.484    20.449    20.415    20.347    20.619    20.512    20.655    20.524    20.269    20.548    20.888    20.522    20.575    20.636    20.093    20.521    20.732
    32      20.482    20.549    20.467    20.407    20.301    20.619    20.463    20.577    20.567    20.274    20.556    20.881    20.435    20.549    20.707    20.215    20.532    20.719
    33      20.489    20.525    20.391    20.433    20.376    20.645    20.533    20.616    20.551    20.386    20.507    20.871    20.484    20.588    20.705    20.262    20.433    20.761
    34      20.473    20.461    20.390    20.480    20.272    20.616    20.515    20.658    20.561    20.390    20.493    20.869    20.533    20.609    20.729    20.232    20.407    20.687
    35      20.504    20.501    20.408    20.439    20.553    20.633    20.541    20.728    20.552    20.366    20.539    20.923    20.558    20.621    20.711    20.262    20.504    20.747
    36      20.550    20.514    20.535    20.307    20.600    20.664    20.603    20.732    20.564    20.214    20.554    20.914    20.578    20.633    20.708    20.169    20.542    20.759
    37      20.526    20.580    20.471    20.457    20.487    20.667    20.599    20.628    20.532    20.197    20.586    20.907    20.599    20.617    20.667    20.119    20.534    20.737
    38      20.518    20.559    20.485    20.494    20.395    20.644    20.570    20.735    20.553    20.241    20.634    20.896    20.561    20.675    20.682    20.147    20.602    20.733
    39      20.543    20.552    20.468    20.535    20.399    20.615    20.545    20.718    20.529    20.298    20.565    20.895    20.540    20.626    20.631    20.282    20.561    20.739
    40      20.530    20.577    20.517    20.493    20.432    20.632    20.531    20.728    20.557    20.315    20.517    20.867    20.500    20.649    20.686    20.268    20.399    20.692
    41      20.584    20.577    20.556    20.492    20.500    20.615    20.591    20.598    20.622    20.447    20.415    20.871    20.555    20.599    20.752    20.323    20.459    20.680
    42      20.546    20.510    20.483    20.566    20.393    20.652    20.579    20.649    20.641    20.418    20.569    20.916    20.585    20.637    20.792    20.260    20.493    20.758
    43      20.595    20.523    20.506    20.520    20.442    20.675    20.599    20.713    20.619    20.594    20.366    20.931    20.602    20.668    20.739    20.397    20.417    20.760
    44      20.565    20.551    20.588    20.484    20.446    20.684    20.589    20.759    20.666    20.605    20.549    20.933    20.569    20.694    20.814    20.469    20.460    20.782
    45      20.589    20.598    20.585    20.584    20.368    20.703    20.563    20.762    20.668    20.670    20.378    20.969    20.565    20.738    20.811    20.517    20.307    20.773
    46      20.600    20.579    20.609    20.535    20.467    20.687    20.554    20.778    20.705    20.708    20.362    20.937    20.501    20.740    20.855    20.588    20.389    20.771
    47      20.617    20.603    20.511    20.537    20.442    20.688    20.654    20.754    20.695    20.652    20.598    20.935    20.558    20.705    20.826    20.515    20.494    20.787
    48      20.580    20.570    20.576    20.591    20.548    20.706    20.607    20.801    20.690    20.531    20.484    20.953    20.604    20.738    20.825    20.459    20.405    20.763
    49      20.651    20.628    20.601    20.565    20.596    20.703    20.675    20.800    20.677    20.644    20.498    20.947    20.668    20.752    20.807    20.529    20.463    20.787
    50      20.639    20.598    20.618    20.611    20.619    20.716    20.650    20.834    20.718    20.647    20.555    20.967    20.657    20.776    20.849    20.524    20.525    20.823
    51      20.672    20.669    20.646    20.580    20.620    20.753    20.682    20.878    20.741    20.715    20.696    20.994    20.673    20.809    20.895    20.603    20.650    20.837
    52      20.701    20.717    20.698    20.674    20.675    20.762    20.746    20.882    20.801    20.741    20.735    21.012    20.739    20.806    20.932    20.703    20.735    20.853
