nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure dynamic-pressure absolute-pressure   total-pressure      temperature total-temperature      phase-1-vof 
         1  1.180011401E+00  7.000440735E-01  4.499552279E-01 -1.296347934E-05  2.560319791E-05  9.682999981E+04  1.039797803E-05  2.920000000E+02  2.920000000E+02  9.999999981E-01 
         2  1.150002942E+00  1.299996259E+00  6.549998111E+00 -4.046924535E-04  2.104415513E-04  9.682999815E+04 -2.126753181E-04  2.919999995E+02  2.919999994E+02  9.999999851E-01 
         3  2.599979183E-01  1.299834635E+00  4.769962194E+00 -2.435436141E-04  6.696796418E-06  9.682999822E+04 -2.374331064E-04  2.919999001E+02  2.919999000E+02  9.999999842E-01 
         4  2.499957813E-01  1.300216226E+00  3.040010943E+00 -3.801264210E-04  1.989303312E-04  9.682999962E+04 -1.986127806E-04  2.920000000E+02  2.919999999E+02  1.000000000E+00 
         5  1.179989316E+00  1.700000987E+00  4.500025386E-01 -4.575411462E-05  1.172909801E-04  9.682999772E+04  6.126787193E-05  2.919999933E+02  2.919999933E+02  9.999999769E-01 
         6  2.090000749E+00  1.699988964E+00  2.640041275E+00 -2.160097614E-03  1.826252722E-03  9.682999820E+04 -4.937359193E-04  2.920000013E+02  2.920000010E+02  1.000000004E+00 
         7  1.929998960E+00  1.700096390E+00  4.850038151E+00 -4.039656463E-04  9.485496939E-05  9.682999978E+04 -3.174154532E-04  2.920000662E+02  2.920000659E+02  1.000000002E+00 
         8  1.149997690E+00  1.699993700E+00  6.550001821E+00 -4.350794579E-04  2.006652010E-04  9.682999866E+04 -2.519827619E-04  2.919999973E+02  2.919999971E+02  9.999999907E-01 
         9  2.599530306E-01  1.699784014E+00  4.769789816E+00 -2.763079367E-04  6.797065465E-05  9.682999993E+04 -2.142882070E-04  2.920000031E+02  2.920000029E+02  1.000000002E+00 
        10  2.500325889E-01  1.700141952E+00  3.039603904E+00 -3.953328309E-04  1.799548658E-04  9.682999979E+04 -2.311333072E-04  2.920000006E+02  2.920000004E+02  1.000000002E+00 
        11  2.090000512E+00  6.999920786E-01  2.640018387E+00 -1.799119152E-03  1.740660912E-03  9.682999964E+04 -2.108555515E-04  2.920000044E+02  2.920000043E+02  9.999999860E-01 
        12  1.930000944E+00  7.000071781E-01  4.849993220E+00 -2.496389056E-04  2.343775133E-05  9.682999885E+04 -2.282560639E-04  2.920376757E+02  2.920376755E+02  9.999999907E-01 
        13  1.149999460E+00  7.000041210E-01  6.549999896E+00 -3.156138884E-04  4.989586810E-05  9.683000041E+04 -2.700873432E-04  2.920060593E+02  2.920060591E+02  1.000000007E+00 
        14  2.599937070E-01  6.999245510E-01  4.770022657E+00 -2.731547542E-04  1.514143370E-04  9.682999910E+04 -1.349968710E-04  2.919997490E+02  2.919997489E+02  9.999999935E-01 
        15  2.500057384E-01  7.000450448E-01  3.040068823E+00 -3.728311001E-04  3.188491686E-04  9.683000017E+04 -8.188956759E-05  2.919923627E+02  2.919923627E+02  1.000000006E+00 
        16  1.179999658E+00  1.300002449E+00  4.500000716E-01 -2.602028599E-05  9.916026388E-05  9.682999996E+04  6.445828710E-05  2.920000000E+02  2.920000000E+02  9.999999999E-01 
        17  2.090000552E+00  1.299991228E+00  2.640042717E+00 -1.111425002E-02  1.065217773E-02  9.682998816E+04 -1.394686484E-03  2.919999984E+02  2.919999981E+02  9.999999925E-01 
        18  1.930000128E+00  1.300009553E+00  4.849983633E+00 -3.316992539E-04  3.086885557E-05  9.683000111E+04 -3.035331082E-04  2.920006809E+02  2.920006807E+02  1.000000015E+00 
