nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure dynamic-pressure absolute-pressure   total-pressure      temperature total-temperature  phase-1-density      phase-1-vof  phase-2-density      phase-2-vof 
         1  1.180011401E+00  7.000440735E-01  4.499552279E-01 -1.373184686E-05  2.596483974E-05  9.682999981E+04  9.959596710E-06  2.919999996E+02  2.919999996E+02  1.224999998E+00  9.999999981E-01  1.224999998E+00  0.000000000E+00 
         2  1.150002942E+00  1.299996259E+00  6.549998111E+00 -4.059012377E-04  2.135741676E-04  9.682999815E+04 -2.110256640E-04  2.919997513E+02  2.919997512E+02  1.224999982E+00  9.999892684E-01  1.224999982E+00  1.071671996E-05 
         3  2.599979183E-01  1.299834635E+00  4.769962194E+00 -2.494719011E-04  4.082777346E-05  9.682999822E+04 -2.122022397E-04  2.918717098E+02  2.918717096E+02  1.224999981E+00  9.993053682E-01  1.224999981E+00  6.946159892E-04 
         4  2.499957813E-01  1.300216226E+00  3.040010943E+00 -3.948663499E-04  2.294511020E-04  9.682999961E+04 -1.855039750E-04  2.920000011E+02  2.920000010E+02  1.225000000E+00  9.999998243E-01  1.225000000E+00  1.757084376E-07 
         5  1.179989316E+00  1.700000987E+00  4.500025386E-01 -4.641818697E-05  1.185662227E-04  9.682999772E+04  6.176750599E-05  2.919999933E+02  2.919999933E+02  1.224999972E+00  9.999999769E-01  1.224999972E+00  0.000000000E+00 
         6  2.090000749E+00  1.699988964E+00  2.640041275E+00 -2.148658159E-03  1.813480081E-03  9.682999821E+04 -4.939509060E-04  2.920000013E+02  2.920000010E+02  1.225000005E+00  1.000000004E+00  1.225000005E+00  0.000000000E+00 
         7  1.929998960E+00  1.700096390E+00  4.850038151E+00 -3.936428895E-04  8.265859978E-05  9.682999979E+04 -3.182211435E-04  2.919998246E+02  2.919998244E+02  1.225000002E+00  9.999986411E-01  1.225000002E+00  1.360756160E-06 
         8  1.149997690E+00  1.699993700E+00  6.550001821E+00 -4.341292672E-04  2.008045112E-04  9.682999866E+04 -2.509055296E-04  2.919999973E+02  2.919999971E+02  1.224999989E+00  9.999999901E-01  1.224999989E+00  5.856039946E-10 
         9  2.599530306E-01  1.699784014E+00  4.769789816E+00 -2.433518295E-04  3.943649407E-05  9.682999996E+04 -2.073676799E-04  2.919947959E+02  2.919947957E+02  1.225000003E+00  9.999934407E-01  1.225000003E+00  6.561349195E-06 
        10  2.500325889E-01  1.700141952E+00  3.039603904E+00 -4.035994138E-04  1.845230950E-04  9.682999978E+04 -2.352315407E-04  2.920000005E+02  2.920000004E+02  1.225000002E+00  1.000000002E+00  1.225000002E+00  0.000000000E+00 
        11  2.090000512E+00  6.999920786E-01  2.640018387E+00 -1.815351118E-03  1.775924039E-03  9.682999963E+04 -1.949011241E-04  2.919980348E+02  2.919980348E+02  1.225000018E+00  9.999773749E-01  1.225000018E+00  2.264001407E-05 
        12  1.930000944E+00  7.000071781E-01  4.849993220E+00 -2.716945468E-04  2.105961318E-05  9.682999883E+04 -2.516967939E-04  2.807827619E+02  2.807827617E+02  1.224999989E+00  9.696121832E-01  1.224999989E+00  3.038780745E-02 
        13  1.149999460E+00  7.000041210E-01  6.549999896E+00 -3.188788366E-04  5.858358326E-05  9.683000040E+04 -2.652542905E-04  2.910100709E+02  2.910100707E+02  1.225000009E+00  9.984944256E-01  1.225000009E+00  1.505581879E-03 
        14  2.599937070E-01  6.999245510E-01  4.770022657E+00 -2.742704914E-04  1.813533000E-04  9.682999909E+04 -1.062386867E-04  2.876336179E+02  2.876336178E+02  1.224999992E+00  9.951980475E-01  1.224999992E+00  4.801945981E-03 
        15  2.500057384E-01  7.000450448E-01  3.040068823E+00 -3.749164310E-04  3.617138018E-04  9.683000017E+04 -3.874138575E-05  2.868768158E+02  2.868768158E+02  1.225000007E+00  9.980808285E-01  1.225000007E+00  1.919177125E-03 
        16  1.179999658E+00  1.300002449E+00  4.500000716E-01 -2.617603864E-05  1.007691630E-04  9.682999996E+04  6.577060793E-05  2.920000000E+02  2.920000000E+02  1.225000000E+00  9.999999999E-01  1.225000000E+00  0.000000000E+00 
        17  2.090000552E+00  1.299991228E+00  2.640042717E+00 -1.113907349E-02  1.067802116E-02  9.682998814E+04 -1.395929204E-03  2.919999984E+02  2.919999980E+02  1.224999991E+00  9.999999925E-01  1.224999991E+00  4.422602914E-21 
        18  1.930000128E+00  1.300009553E+00  4.849983633E+00 -3.362506946E-04  4.134189500E-05  9.683000111E+04 -2.984979196E-04  2.917607689E+02  2.917607686E+02  1.225000018E+00  9.999994579E-01  1.225000018E+00  5.569717402E-07 
